p_atraso,atraso_min_ms,atraso_max_ms,repeticao,mensagens_planejadas,mensagens_entregues,erro_conexao,timeout,retransmissoes,dados_enviados,quadros_enviados,quadros_atrasados,pacotes_reencaminhados,taxa_entrega,taxa_retransmissoes,taxa_atraso,latencia_media_ms,tempo_exec_ms
0.0000,10,30,1,100,100,0,0,0,100,399,0,199,1.0000,0.0000,0.0000,0.0800,8
0.0000,10,30,2,100,100,0,0,0,100,399,0,199,1.0000,0.0000,0.0000,0.0800,8
0.0000,10,30,3,100,100,0,0,0,100,399,0,199,1.0000,0.0000,0.0000,0.0700,7
0.0000,10,30,4,100,100,0,0,0,100,399,0,199,1.0000,0.0000,0.0000,0.0700,7
0.0000,10,30,5,100,100,0,0,0,100,399,0,199,1.0000,0.0000,0.0000,0.0700,7
1.0000,10,30,1,100,100,0,0,11,111,443,443,221,1.0000,0.1100,1.0000,81.9600,8196
1.0000,10,30,2,100,100,0,0,8,108,431,431,215,1.0000,0.0800,1.0000,81.2100,8121
1.0000,10,30,3,100,100,0,0,6,106,421,421,210,1.0000,0.0600,1.0000,80.8400,8084
1.0000,10,30,4,100,100,0,0,5,105,419,419,209,1.0000,0.0500,1.0000,80.2000,8020
1.0000,10,30,5,100,100,0,0,6,106,423,423,211,1.0000,0.0600,1.0000,80.0800,8008
2.0000,10,30,1,100,100,0,0,11,111,443,443,221,1.0000,0.1100,1.0000,81.9800,8198
2.0000,10,30,2,100,100,0,0,8,108,431,431,215,1.0000,0.0800,1.0000,81.2100,8121
2.0000,10,30,3,100,100,0,0,6,106,421,421,210,1.0000,0.0600,1.0000,80.8500,8085
2.0000,10,30,4,100,100,0,0,5,105,419,419,209,1.0000,0.0500,1.0000,80.2100,8021
2.0000,10,30,5,100,100,0,0,6,106,423,423,211,1.0000,0.0600,1.0000,80.1400,8014
3.0000,10,30,1,100,100,0,0,11,111,443,443,221,1.0000,0.1100,1.0000,82.0300,8203
3.0000,10,30,2,100,100,0,0,8,108,431,431,215,1.0000,0.0800,1.0000,81.2100,8121
3.0000,10,30,3,100,100,0,0,7,107,427,427,213,1.0000,0.0700,1.0000,80.5600,8056
3.0000,10,30,4,100,100,0,0,5,105,419,419,209,1.0000,0.0500,1.0000,80.1800,8018
3.0000,10,30,5,100,100,0,0,6,106,423,423,211,1.0000,0.0600,1.0000,80.0800,8008
5.0000,10,30,1,100,100,0,0,11,111,443,443,221,1.0000,0.1100,1.0000,81.9300,8193
5.0000,10,30,2,100,100,0,0,8,108,431,431,215,1.0000,0.0800,1.0000,81.2200,8122
5.0000,10,30,3,100,100,0,0,6,106,421,421,210,1.0000,0.0600,1.0000,80.8600,8086
5.0000,10,30,4,100,100,0,0,5,105,419,419,209,1.0000,0.0500,1.0000,80.1600,8016
5.0000,10,30,5,100,100,0,0,6,106,423,423,211,1.0000,0.0600,1.0000,80.0700,8007
