p_perda,repeticao,mensagens_planejadas,mensagens_entregues,erro_conexao,timeout,retransmissoes,dados_enviados,quadros_enviados,quadros_perdidos,pacotes_reencaminhados,taxa_entrega,taxa_retransmissoes,perda_quadros,tempo_exec_ms
0.0000,1,100,100,0,0,0,100,399,0,199,1.0000,0.0000,0.0000,7
0.0000,2,100,100,0,0,0,100,399,0,199,1.0000,0.0000,0.0000,7
0.0000,3,100,100,0,0,0,100,399,0,199,1.0000,0.0000,0.0000,7
0.0000,4,100,100,0,0,0,100,399,0,199,1.0000,0.0000,0.0000,7
0.0000,5,100,100,0,0,0,100,399,0,199,1.0000,0.0000,0.0000,7
0.0500,1,100,100,0,0,19,119,445,19,218,1.0000,0.1900,0.0427,1910
0.0500,2,100,100,0,0,21,121,447,21,218,1.0000,0.2100,0.0470,2110
0.0500,3,100,100,0,0,25,125,461,25,224,1.0000,0.2500,0.0542,2510
0.0500,4,100,100,0,0,20,120,446,20,216,1.0000,0.2000,0.0448,2010
0.0500,5,100,100,0,0,25,125,451,25,218,1.0000,0.2500,0.0554,2510
0.1000,1,100,100,0,0,60,160,541,61,255,1.0000,0.6000,0.1128,6016
0.1000,2,100,100,0,0,51,151,514,51,244,1.0000,0.5100,0.0992,5114
0.1000,3,100,100,0,0,50,150,520,50,247,1.0000,0.5000,0.0962,5014
0.1000,4,100,100,0,0,40,140,498,40,238,1.0000,0.4000,0.0803,4012
0.1000,5,100,100,0,0,57,157,525,57,247,1.0000,0.5700,0.1086,5715
0.2000,1,100,12,1,0,19,31,82,20,35,0.1200,0.1900,0.2439,2004
0.2000,2,100,4,1,0,9,13,33,10,14,0.0400,0.0900,0.3030,1001
0.2000,3,100,13,1,0,15,28,82,16,36,0.1300,0.1500,0.1951,1603
0.2000,4,100,24,1,0,30,54,160,31,72,0.2400,0.3000,0.1938,3106
0.2000,5,100,63,1,0,85,148,424,86,187,0.6300,0.8500,0.2028,8617
0.5000,1,100,1,1,0,5,6,13,6,6,0.0100,0.0500,0.4615,601
0.5000,2,100,1,1,0,5,6,11,6,3,0.0100,0.0500,0.5455,601
0.5000,3,100,1,1,0,9,11,17,10,5,0.0100,0.0900,0.5882,1001
0.5000,4,100,4,1,0,17,21,47,18,17,0.0400,0.1700,0.3830,1802
0.5000,5,100,1,1,0,5,6,11,6,4,0.0100,0.0500,0.5455,601
