p_perda,repeticao,mensagens_planejadas,mensagens_entregues,erro_conexao,timeout,retransmissoes,dados_enviados,acks_recebidos,duplicatas_descartadas,entregues,taxa_entrega,taxa_retrans_por_msg,taxa_retrans_por_envio,tempo_exec_ms
0.0000,1,100,100,0,0,0,100,99,0,100,1.0000,0.0000,0.0000,8
0.0000,2,100,100,0,0,0,100,99,0,100,1.0000,0.0000,0.0000,8
0.0000,3,100,100,0,0,0,100,99,0,100,1.0000,0.0000,0.0000,8
0.0000,4,100,100,0,0,0,100,99,0,100,1.0000,0.0000,0.0000,7
0.0000,5,100,100,0,0,0,100,99,0,100,1.0000,0.0000,0.0000,7
0.0500,1,100,100,0,0,19,119,99,8,100,1.0000,0.1900,0.1597,1910
0.0500,2,100,100,0,0,21,121,99,8,100,1.0000,0.2100,0.1736,2111
0.0500,3,100,100,0,0,25,125,99,12,100,1.0000,0.2500,0.2000,2511
0.0500,4,100,100,0,0,20,120,99,10,100,1.0000,0.2000,0.1667,2010
0.0500,5,100,100,0,0,25,125,99,8,100,1.0000,0.2500,0.2000,2510
0.1000,1,100,100,0,0,60,160,99,26,100,1.0000,0.6000,0.3750,6015
0.1000,2,100,100,0,0,51,151,99,19,100,1.0000,0.5100,0.3377,5115
0.1000,3,100,100,0,0,50,150,99,23,100,1.0000,0.5000,0.3333,5013
0.1000,4,100,100,0,0,40,140,99,20,100,1.0000,0.4000,0.2857,4012
0.1000,5,100,100,0,0,57,157,99,21,100,1.0000,0.5700,0.3631,5715
0.2000,1,100,12,1,0,19,31,11,4,12,0.1200,0.1900,0.6129,2003
0.2000,2,100,4,1,0,9,13,3,2,4,0.0400,0.0900,0.6923,1001
0.2000,3,100,13,1,0,15,28,12,5,13,0.1300,0.1500,0.5357,1603
0.2000,4,100,24,1,0,30,54,23,10,24,0.2400,0.3000,0.5556,3106
0.2000,5,100,63,1,0,85,148,62,26,63,0.6300,0.8500,0.5743,8616
0.5000,1,100,1,1,0,5,6,0,0,1,0.0100,0.0500,0.8333,600
0.5000,2,100,1,1,0,5,6,0,1,1,0.0100,0.0500,0.8333,601
0.5000,3,100,1,1,0,9,11,1,0,1,0.0100,0.0900,0.8182,1001
0.5000,4,100,4,1,0,17,21,3,5,4,0.0400,0.1700,0.8095,1803
0.5000,5,100,1,1,0,5,6,0,0,1,0.0100,0.0500,0.8333,600
